event,boys1a,boys6a,girls1a,girls6a
200 Medley Relay,2:04.19,1:52.59,2:13.09,2:04.89
200 Freestyle,2:05.39,1:55.19,2:15.09,2:05.49
200 IM,2:22.79,2:11.49,2:35.09,2:22.89
50 Freestyle,24.39,23.39,27.39,25.89
1M Diving,Top 3,Top 6,Top 3,Top 6
100 Butterfly,1:02.49,58.09,1:08.39,1:03.79
100 Freestyle,55.99,51.79,59.99,56.99
500 Freestyle,5:40.09,5:17.89,6:03.79,5:40.09
200 Freestyle Relay,1:48.69,1:41.19,1:58.59,1:50.19
100 Backstroke,1:04.19,58.89,1:09.39,1:04.39
100 Breaststroke,1:12.59,1:05.39,1:18.19,1:12.99
400 Freestyle Relay,4:11.99,3:46.79,4:23.99,4:12.99
